# ----------------------------------------
# Sayfalar ve ekranlar: Sayfa yolu ve ekran sınıfı
# Hesap: Eren Servis Bostancı
# Mülk: www.erenservis.net
# ----------------------------------------
# 
# Tüm Kullanıcılar
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Sayfa yolu ve ekran sınıfı,Görüntüleme Sayısı,Etkin kullanıcı sayısı,Etkin kullanıcı başına görüntüleme sayısı,Etkin kullanıcı başına ortalama etkileşim süresi,Etkinlik sayısı,Önemli faaliyetler,Toplam gelir
/,170,139,1.223021582733813,15.726618705035971,739,4,0
/zf-sanziman-servisi/,46,40,1.15,19.7,168,0,0
/wt-wolfs-tech-dsg-basinc-tupu/,42,30,1.4,29.333333333333332,135,1,0
/iletisim/,40,29,1.3793103448275863,30.24137931034483,85,0,0
/bostanci-audi-servis/,31,23,1.3478260869565217,11.73913043478261,100,0,0
/skoda-ozel-servis/,16,12,1.3333333333333333,9.583333333333334,56,0,0
/dsg-sanziman-servisi/,14,14,1,18.928571428571427,34,2,0
/volkswagen-servis-bostanci/,10,8,1.25,67,24,0,0
/volkswagen-servisi/,10,9,1.1111111111111112,26.77777777777778,25,0,0
/hakkimizda/,9,5,1.8,7,20,0,0
/marka/volkswagen/,5,5,1,5.8,18,0,0
/markalar/,5,3,1.6666666666666667,9.333333333333334,17,0,0
/blog/,4,4,1,18.25,10,0,0
/bostanci-porsche-servis/,4,3,1.3333333333333333,31.333333333333332,13,0,0
/bostanci-seat-servis/,3,3,1,9.333333333333334,9,0,0
/marka/audi/,3,3,1,3.6666666666666665,9,0,0
/audi-ozel-servis/,2,2,1,4,6,0,0
/dsg-sanziman-tamiri/,2,2,1,16.5,7,0,0
/seat-ozel-servis/,2,2,1,27,6,0,0
/marka/seat/,1,1,1,0,3,0,0
