# ----------------------------------------
# Teknolojiye genel bakış
# Hesap: Eren Servis Bostancı
# Mülk: www.erenservis.net
# ----------------------------------------
#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Platform,Etkin kullanıcı sayısı
"[""Web""]",249

#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
İşletim sistemi,Etkin kullanıcı sayısı
iOS,100
Android,63
Windows,63
Macintosh,14
Linux,10

#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Platform / cihaz kategorisi,Etkin kullanıcı sayısı
web / mobile,164
web / desktop,84
web / tablet,1

#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Tarayıcı,Etkin kullanıcı sayısı
Chrome,141
Safari,92
Edge,5
Samsung Internet,5
Android Webview,2
Firefox,2
Opera,1

#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Cihaz kategorisi,Etkin kullanıcı sayısı
mobile,164
desktop,84
tablet,1

#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Ekran çözünürlüğü,Etkin kullanıcı sayısı
390x844,29
1920x1080,26
2000x2000,12
393x852,11
414x896,11
430x932,11
440x956,11
1280x720,10
1536x864,10
384x832,10
393x873,10
375x812,9
402x874,9
1366x768,5
1440x900,5
360x800,5
407x904,5
384x854,4
1470x956,3
2560x1440,3
360x780,3
428x926,3
1280x800,2
393x851,2
800x600,2
1024x768,1
1280x1024,1
1440x960,1
1512x982,1
1536x960,1
2195x1235,1
2304x1296,1
2560x1080,1
320x568,1
320x693,1
320x694,1
3440x1440,1
360x740,1
360x804,1
360x825,1
375x667,1
375x833,1
376x835,1
3840x2160,1
384x792,1
384x811,1
384x824,1
384x857,1
385x833,1
386x856,1
393x895,1
412x846,1
412x869,1
412x883,1
412x892,1
412x915,1
412x960,1
414x736,1
420x912,1
491x1091,1
600x960,1
691x829,1
820x1180,1

#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
N. gün


#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Uygulama,Sürüm,Durum


#  
# Başlangıç tarihi: 20260311
# Bitiş tarihi: 20260311
Uygulama,Kilitlenme sorunu yaşamayan kullanıcılar


# Başlangıç tarihi: 20260310
# Bitiş tarihi: 20260310
Uygulama,Kilitlenme sorunu yaşamayan kullanıcılar


#  
# Başlangıç tarihi: 20251212
# Bitiş tarihi: 20260311
Cihaz modeli,Etkin kullanıcı sayısı
